run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,final_equity,total_equity_return,max_drawdown,score,wf_id
491,0.005,0.008,0.006,7,40,55,64,15,49,0.515625,0.00100399,0.00120641,0.06425556,1.35659,101932.68,0.01932677,-0.01138856,0.02025584,4
167,0.003,0.008,0.006,7,40,55,69,15,54,0.521739,0.00099949,0.00104991,0.06896496,1.358698,102075.87,0.02075871,-0.01317849,0.02021083,4
1148,0.01,0.008,0.006,9,40,55,36,11,25,0.527778,0.00131908,0.00790744,0.04748675,1.460041,101426.49,0.01426486,-0.00910209,0.02017395,4
751,0.007,0.006,0.008,9,40,50,102,15,87,0.627451,0.00074079,0.0059068,0.07556058,1.253143,102271.42,0.02271422,-0.01271043,0.01995378,4
1283,0.01,0.01,0.008,7,40,55,33,11,22,0.606061,0.00147932,0.003056,0.04881758,1.465303,101464.91,0.01464906,-0.01207664,0.01978095,4
175,0.003,0.008,0.006,9,40,50,141,15,126,0.468085,0.00061913,-0.00393975,0.08729704,1.201412,102622.51,0.02622508,-0.01582094,0.01975961,4
915,0.007,0.01,0.006,5,40,60,20,14,6,0.55,0.00146468,0.00120822,0.02929354,1.655998,100878.66,0.00878664,-0.00472555,0.01965297,4
271,0.003,0.01,0.006,7,35,50,122,0,122,0.442623,0.00063988,-0.00603261,0.0780652,1.200392,102338.24,0.02338243,-0.01266519,0.01964907,4
319,0.003,0.01,0.008,9,40,50,128,15,113,0.484375,0.00069141,-0.0008654,0.08849987,1.186275,102648.17,0.02648173,-0.01769376,0.01924078,4
281,0.003,0.01,0.006,9,35,55,53,0,53,0.45283,0.0010583,-0.00337065,0.05608984,1.345334,101682.85,0.01682853,-0.01037136,0.01911443,4
51,0.003,0.006,0.006,5,40,60,23,16,7,0.565217,0.00131921,0.0059201,0.03034191,1.646836,100911.13,0.00911125,-0.00406347,0.01905261,4
375,0.005,0.006,0.006,5,40,60,23,16,7,0.565217,0.00131921,0.0059201,0.03034191,1.646836,100911.13,0.00911125,-0.00406347,0.01905261,4
