pair,side,signal_date,entry_date,exit_date,exit_time,entry_price,exit_price,tp_price,sl_price,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_rsi,signal_prev_high,signal_prev_low,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min
GBPJPY=X,SHORT,2025-03-03,2025-03-04,2025-03-05,1741132800,189.62399291992188,190.7617368774414,187.72775299072265,190.7617368774414,SL,2,1,-0.005999999999999932,9.49246966210726e-05,-0.006094924696621004,False,190.0189971923828,190.5942810058594,61.24885420158542,193.0240020751953,187.55099487304688,0.01,0.01,0.006,7,40,60
EURUSD=X,LONG,2025-04-01,2025-04-02,2025-04-03,1743638400,1.0795987844467163,1.0903947722911835,1.0903947722911835,1.073121191740036,TP,2,1,0.010000000000000057,3.70508012571537e-05,0.009962949198742905,True,1.0818880796432495,1.0759761810302735,38.83361691071084,1.093948245048523,1.0485037565231323,0.01,0.01,0.006,7,40,60
EURJPY=X,LONG,2025-06-02,2025-06-03,2025-06-06,1749168000,163.13787841796875,164.76925720214845,164.76925720214845,162.15905114746093,TP,4,3,0.01000000000000009,6.129784264068593e-05,0.009938702157359404,True,163.2469940185547,163.12054626464842,38.679854480517236,165.01100158691406,162.2259979248047,0.01,0.01,0.006,7,40,60
GBPUSD=X,SHORT,2025-07-09,2025-07-10,2025-07-14,1752451200,1.3597116470336914,1.3461145305633544,1.3461145305633544,1.3678699169158937,TP,3,4,0.010000000000000071,8.825400610621276e-05,0.00991174599389386,True,1.3585295677185059,1.3590598917007446,63.59291624183703,1.374721646308899,1.3416515588760376,0.01,0.01,0.006,7,40,60
AUDUSD=X,LONG,2025-08-13,2025-08-14,2025-08-14,1755129600,0.655131995677948,0.6512012037038803,0.6616833156347275,0.6512012037038803,SL,1,0,-0.00599999999999994,0.000152640995493614,-0.006152640995493554,False,0.6529802083969116,0.6523285484313965,37.7092688475255,0.6603999137878418,0.6429089903831482,0.01,0.01,0.006,7,40,60
GBPUSD=X,SHORT,2025-08-22,2025-08-25,2025-09-02,1756771200,1.3509807586669922,1.3374709510803222,1.3374709510803222,1.359086643218994,TP,7,8,0.01000000000000004,8.882435906667062e-05,0.00991117564093337,True,1.3419395685195923,1.3430892753601074,61.87483600104959,1.3585295677185059,1.3209865093231201,0.01,0.01,0.006,7,40,60
AUDUSD=X,LONG,2025-10-07,2025-10-08,2025-10-10,1760054400,0.6579899787902832,0.6540420389175415,0.6645698785781861,0.6540420389175415,SL,3,2,-0.005999999999999952,0.000151977998485403,-0.0061519779984853555,False,0.6616500020027161,0.6598956823348999,37.95867858592459,0.6688998937606812,0.6537314653396606,0.01,0.01,0.006,7,40,60
GBPUSD=X,SHORT,2025-11-26,2025-11-27,2025-12-03,1764720000,1.3245033025741577,1.3324503223896027,1.311258269548416,1.3324503223896027,SL,5,6,-0.006000000000000032,9.060000059401989e-05,-0.006090600000594052,False,1.315870761871338,1.3167284631729126,63.49882771861607,1.3279330730438232,1.3021697998046875,0.01,0.01,0.006,7,40,60
USDJPY=X,LONG,2025-12-11,2025-12-12,2025-12-16,1765843200,155.4770050048828,154.54414297485351,157.03177505493164,154.54414297485351,SL,3,4,-0.006000000000000009,3.8590915742244764e-05,-0.006038590915742254,False,155.7899932861328,155.51327880859375,37.16460933933994,157.36900329589844,154.5850067138672,0.01,0.01,0.006,7,40,60
EURUSD=X,LONG,2026-02-17,2026-02-18,2026-02-19,1771459200,1.185157060623169,1.17804611825943,1.1970086312294006,1.17804611825943,SL,2,1,-0.005999999999999982,3.375080090985371e-05,-0.006033750800909836,False,1.1849884986877441,1.1805532932281495,31.564233368180822,1.2017642259597778,1.1639139652252197,0.01,0.01,0.006,7,40,60
GBPUSD=X,LONG,2026-02-17,2026-02-18,2026-02-19,1771459200,1.3564103841781616,1.3482719218730927,1.3699744880199431,1.3482719218730927,SL,2,1,-0.005999999999999928,8.846880074035047e-05,-0.006088468800740278,False,1.3627691268920898,1.359571900367737,34.32964820302408,1.382533073425293,1.3418315649032593,0.01,0.01,0.006,7,40,60
